,smiles,microsom_stab_h
121,Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,0.734719842
122,Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,1.953648568
123,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,2.666523596
124,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,1.775384687
125,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,2.095078646
126,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,2.649622021
129,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,1.881806762
130,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,1.342679234
131,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,2.209624915
133,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,0.989894564
135,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,0.964165311
136,O=C1NCCSc2c1sc1ccc(O)cc21,1.688642252
137,CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21,0.940516485
138,CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,0.894224095
140,CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,1.317394675
141,O=C1CCC(=O)N1Cc1nc(C23CC4CC(CC(C4)C2)C3)cs1,2.019872011
142,O=C(Nc1nc2c(s1)COc1ccccc1-2)c1cnc(Cl)c(Cl)c1,1.528543921
143,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,1.202869588
144,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,2.003348497
145,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,1.781252594
147,COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1,0.76930346
149,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,0.988068203
151,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,1.543596268
153,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,1.113241232
155,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,1.169292275
156,Nc1ncc(-c2cc(C3C4CN(C5COC5)CC43)n(CC3CC3)n2)cc1C(F)(F)F,1.11320777
157,NS(=O)(=O)C#Cc1ccccc1,1.023705043
158,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,1.506071875
159,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,1.822599543
160,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,1.89741814
161,CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,1.868620931
163,CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,2.357256208
164,Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,0.948364056
165,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,0.819280647
166,COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,2.257044666
167,c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,1.596179092
168,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,2.633232054
169,CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)COc2ccccc2)CC1,1.946432613
170,Cc1ccc(Oc2ccc(Cl)cc2NC(=O)CN(C)CC(=O)N(C)C)cc1,3.021840253
171,O=C(c1sc(N2CCOCC2)nc1-c1ccccc1)N1CCCCC1,1.653357254
172,Cc1ccccc1-c1nc(Cn2ccnc2C(C)C)c(C)o1,2.490768687
173,CCc1nc2cc(-c3c(OC)cccc3OC)ccc2o1,1.695253962
174,O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,1.076312688
176,Cc1nnc(NCCc2ccc3c(c2)OCO3)c(C#N)c1C,1.7170544
177,Cc1nc(N2CCn3ccnc3C2)c2cnn(C)c2n1,1.021023822
179,Cc1occc1C(=O)NCC(=O)Nc1nc2cc(Cl)ccc2n1C,0.977449227
181,c1ccc(-c2noc(NC3CC3)n2)cc1,1.920138986
183,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,0.900913068
184,O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1,1.064719984
186,O=C(CSc1nccn1C1CC1)Nc1c(Cl)cc(Cl)cc1C(=O)O,1.618654639
189,Cc1cc(-c2cnn(CCNC(=O)c3sc(C)nc3C)c2C2CC2)on1,1.376923524
190,O=C(CSc1nc2nc(O)cc(O)c2s1)c1ccc(-c2ccccc2)cc1,2.14248958
192,CN(C)c1ccc2c(c1)OCCN2C(=O)NCc1cccnc1,1.372838388
194,CCCOc1ccccc1C(=O)N1CC(Oc2cccc(OC)c2)C1,1.967707064
195,O=C(c1ccc(-n2cccn2)nc1)N1CCN(c2ccccc2O)CC1,0.764026608
196,COc1ccc(CCNCc2ccc(-c3ccccc3)o2)cc1OC,1.805113286
197,CSCC(=O)N1CCN(C(=O)CSC)C2(CCCCC2)C1,1.762205758
199,COc1cccc(OCCCn2cncc2-c2cc3c(cc2C)n(C)c(=O)n3C)c1,1.584059705
201,COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,1.740560051
202,Cc1cc(OCC(=O)N(C)C2CCCCCCC2)no1,1.752923841
203,CC(C)CNc1nnc(SCc2ccncc2)s1,1.490239485
204,COc1c(C)cccc1CN1CCC(O)(c2ccc(F)cc2)CC1,1.444481995
206,Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,0.918082785
208,O=C1Nc2ccccc2O[C@H]2C[C@@H]1N(CC1CC1)C2,1.160948481
209,CCN(C/C=C/c1ccc(F)cc1)Cc1nc(COC)no1,1.413500935
211,O=C(NC[C@@H]1CCN(c2ccccc2)C1)N1CCc2ccccc2C1,2.229848158
213,CCN1CCC(N(C)c2ncnc3c2cnn3C)CC1,2.181949292
215,Cc1cc2nc(CCC(=O)N3CCC(c4ccc(C(=O)N(C)C)c(N)n4)CC3)[nH]c2cc1C,2.02843704
218,COc1ccc(C)cc1NC(=O)CN1CCc2ccccc2C1,2.280145681
220,c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,1.197638876
221,COc1ccc(-n2cc3c(c2-c2ccccc2Br)c(=O)n(C)c(=O)n3C)cc1,1.574575243
223,COc1ccc(CN2CCC(c3nc(C(C)C)no3)CC2)c(F)c1,1.544489726
224,Cc1nnc(NCC(=O)N2CCc3sccc3C2)c(C#N)c1C,1.237367773
226,O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccccc2)C1,1.733935179
227,CCCn1cc(C(=O)N2CCC(c3n[nH]cc3C(=O)N(C)Cc3ccccc3)CC2)cn1,2.109848421
228,c1ccc(CO[C@@H]2CCC[C@H]2n2cc(-c3nccs3)nn2)cc1,1.800923182
229,Cc1cc(C(=O)N(C)Cc2ccc(Br)cc2)no1,1.967599452
231,Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,1.562506984
234,CNC(=O)c1ccc(N2CCCC2)nc1,1.650200637
238,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,1.612222088
240,Cc1cc(OCc2ncc(C(C)(C)C)o2)nn1C,1.444638031
241,Clc1cccc(CNc2nc(C3CC3)no2)c1,1.342442421
242,Cc1ccc(-c2nc(NCc3ccco3)ncc2-c2cc(C)no2)cn1,1.942241269
243,O=C(c1ccccc1F)N1CCC[C@@H]1Cn1nnn(-c2cccs2)c1=O,1.795344637
244,COc1nc(C)nc(N(C)Cc2nccs2)c1C,2.116677465
246,CN(Cc1cccc(C#N)c1)Cc1ccccc1C#N,2.451204429
247,CN1CCN(Cc2noc(Cc3ccccc3)n2)c2ccccc21,2.53226377
248,COc1ccc(C2(NCc3ccc(N4CCCC4=O)cc3)CC2)cc1,1.125708926
249,O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,2.5987369
250,CNC(=O)c1ccc(N(C)C2CCC2)nn1,1.394504213
251,CC#CCNc1ccc(-n2cnnn2)c(C)c1,1.323417121
252,Nc1nc2ccccc2nc1N1CCCC1,2.36483043
254,Cc1cc(N2CCCCC2)nc(CNC(=O)c2ccccc2Cl)n1,1.751756258
255,COc1ccccc1C(=O)NCc1nc(C)cc(N2CCCCC2)n1,1.983662364
256,CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,0.870462432
257,O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,2.171023996
258,Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,2.177262274
259,O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,2.645352502
260,COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,2.554656304
261,CC(C)(C)c1cc(NC(=O)c2cccc3cn[nH]c23)[nH]n1,0.993259831
262,Cc1ccccc1OCCCNc1cc(Cn2c(C)nc3ccccc32)nc(N)n1,2.855807378
263,COc1ccc(-c2cccc(C3CCCN(CC(=O)Nc4ccccn4)C3)n2)cc1,2.118449915
265,Cc1noc(C)c1C(=O)N1CCCN(c2ccc(F)cc2)CC1,2.045596772
266,COCC1CCN(c2noc(-c3cccs3)n2)CC1,1.597552591
267,NC(=O)COc1ccccc1-c1ccccc1,1.412611726
268,Cc1nc(C)c(C)c(NCc2cc(-c3ccc(F)cc3)no2)n1,1.306875174
271,Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,1.817796667
273,Clc1ccc2c(Oc3cccnc3)ncnc2c1,1.222404291
274,CC(C)(C)c1csc(NC(=O)C2CC2)n1,1.306167592
275,Cc1ccc(C(=O)Nc2ncccc2C)s1,0.827563111
277,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1,2.056054478
278,O=C([C@H]1CCCN(Cc2ccc(Cl)cc2)C1)N1CCc2ccccc2C1,2.399486814
280,O=C(CCCc1nnc(-c2ccccc2)o1)Nc1cccc2ccccc12,1.854919088
281,CN(CC(=O)NC1(C#N)CCCCC1)c1cccc(C#N)c1,1.933284772
282,Cc1nc(C2(NCc3cccc(C#N)c3)CCCC2)no1,1.122445256
283,CN(CCC1CCCCC1)C(=O)c1ccon1,1.606424362
284,CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,1.881681314
285,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,0.89014146
286,COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(COc1cc(=O)n3cccc(OCCN4CCCCC4)c3n1)C2=O,2.208962412
288,Cc1cc(C)cc(Oc2cc(C#N)ccn2)c1,1.681340752
291,N#Cc1ccc(-c2csc(CCN3CCCC3=O)n2)cc1,0.764176132
292,N#Cc1cccc(CN2CCC=C(CNC(=O)c3cccs3)C2)c1,1.753621355
295,Cc1ccc(Cn2nccc2NC(=O)c2ccncc2)o1,0.876160085
298,Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(F)c1,2.148473087
299,CN(C)[C@@H]1CN(C(=O)CCn2cnc3ccccc32)C[C@H]1O,0.739493231
301,CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,2.033568496
302,COc1ccccc1CNC(=O)C(C)N1CCCN(c2ccccc2C#N)CC1,3.339893263
303,CON(C)C(=O)c1cc2ccc(C(C)(C)C)cc2[nH]1,1.739983503
304,CCN(CC)Cc1cccc(/C=C/c2nc3ccc(F)cc3c(=O)n2-c2ccccc2Cl)n1,1.84105899
305,N#CCCN(c1ncnc2sccc12)C1CC1,1.042339205
307,O=c1n(CCc2ccncc2)nnn1-c1ccccc1,0.763802224
308,CCCCOc1ccc(C(=O)NCc2cc(C)on2)cc1,1.071550639
310,COc1ccc(Cc2ncnn2-c2ccc3c(c2)OCO3)c(OC)c1,2.118307723
312,Nc1cncc(-c2ccc(CN3CCCCC3)cc2)c1,1.609423646
313,O=C(CN1CCCC(c2ccc3cn[nH]c3n2)C1)N1CCCC1,0.960280464
316,CC(C)c1nccn1-c1cccc([C@@H]2CCCN2C(=O)CCc2ccccc2)n1,2.746029814
317,CCn1nc(C2CCCC2)nc1-c1ccncc1,1.39054654
318,O=C([C@H]1CCCN(Cc2ccc(F)cc2)C1)N1CCc2ccccc2C1,2.526548619
319,CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(CC(F)F)CC3)nc2O1,1.268718346
321,COc1ccc(-n2c(Cn3cnc(C#N)n3)nc3ccccc32)cc1,0.698535493
324,CCn1cc(C2CCN(Cc3ccc(C#N)cc3)CC2)cn1,1.087000121
326,CCc1cc2c(N(C)CCO)ncnc2s1,1.866860112
327,c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,1.039255444
329,CCNC(=O)c1cc(C2CC2)nc2c1c(C)nn2-c1ccccn1,1.412443747
331,Cc1ccc(CNC/C=C/c2ccccc2)cn1,1.454646716
332,CC(C)(C)n1ncc(OCc2ccc(OCCOCCO)nc2)c(Cl)c1=O,0.913336926
333,CC(=O)Nc1ccc(Oc2ncnc3scc(-c4ccccc4)c23)cc1,1.590563209
337,O=C(c1ccc2[nH]ccc2c1)N1CCCC(c2cccc(-c3ccc(F)cc3)n2)C1,1.861886721
338,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1.028327198
339,Cc1cc(Nc2ccc3c(c2)oc(=O)n3C)nc(C2CC2)n1,1.37821615
340,O=C(Cc1c(F)cccc1Cl)Nc1cccc2cnccc12,1.796761608
341,CCc1ccc(NC(=O)C2CCN(c3ccc4nncn4n3)CC2)cc1,0.686546899
342,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1,1.105237601
343,O=C(NCc1ccc(-n2cncn2)nc1)c1csc2c1CCCC2,1.344411925
344,Cc1sc2ncnc(OCC(=O)NC3CCCCC3)c2c1C,1.541304603
345,Cc1nc(C(C)C)sc1C(=O)Nc1nc(C(C)(C)C)cs1,1.444481995
346,CCOC(=O)c1c(C)[nH]c(CN(Cc2ccccc2)C(=O)c2ccccc2Cl)c1C,2.492268562
348,Cc1ccc2nc(-c3ccc(N(C)C)cc3)[nH]c2c1,2.079575551
349,Cc1nc(CC2CCN(S(=O)(=O)c3cn(C)cn3)CC2)cc(NC2CCCC2)n1,0.998172122
350,CCC(CC)NC(=O)c1ccc2ncsc2c1,0.863501301
354,COc1ccc(N2N=C(C)/C(=C(\C)Nc3ccc(S(N)(=O)=O)cc3)C2=O)cc1,0.950316164
355,c1ccc(OCc2cc(CC3(NCc4cnc5ccccc5c4)COC3)no2)cc1,2.184671561
356,Cc1nn(C)cc1CNc1nc(-c2cnccn2)nc2sc3c(c12)CCCC3,2.436401205
357,CCOc1ccc(-c2csc(N)n2)cc1,2.008761938
358,CN(C)c1cccc(C(=O)N2CCCC(c3cccc(-c4cccs4)n3)C2)c1,2.6977575
359,CNc1ncc(-c2nc(C3(c4ccccc4)CC3)nn2C(C)(C)C)cn1,1.788642017
360,N#Cc1ccc(OCCn2cccn2)cc1,0.840858554
361,OC[C@@H](c1ccccc1)n1cc(CCc2ccccc2)nn1,1.392028293
363,Cc1nccc(-c2cccc(-n3ccnc3C(C)C)c2)n1,1.549260818
364,CN(Cc1cnn(C)c1)c1ncnc2c1oc1ccccc12,1.294840836
365,Cc1cccc(NC(=O)c2cccnc2N2CCCCC2)n1,2.077709392
