SMILES,microsom_stab_r,dset,group,fold,fingerprint,molbert,molformer,physchem
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,2.53699252,train,random,0,,,,
COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,2.012702277,train,random,0,,,,
Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,3.177817186,train,random,0,,,,
O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,1.572453363,train,random,0,,,,
Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,3.213226004,train,random,0,,,,
Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,3.329049083,train,random,0,,,,
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,1.409628842,train,random,0,,,,
Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,1.847547983,train,random,0,,,,
Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,3.158486128,train,random,0,,,,
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,1.848847759,train,random,0,,,,
Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,2.804398773,train,random,0,,,,
Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,3.182090951,train,random,0,,,,
CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,2.746011108,train,random,0,,,,
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,2.077589539,train,random,0,,,,
CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,3.377908999,train,random,0,,,,
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,2.808125186,train,random,0,,,,
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,2.813429526,train,random,0,,,,
O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,1.387407625,train,random,0,,,,
O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,1.573811169,train,random,0,,,,
O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,1.968889034,train,random,0,,,,
CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,3.037733185,train,random,0,,,,
OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,2.518683676,train,random,0,,,,
Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,3.077711934,train,random,0,,,,
CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,2.335620355,train,random,0,,,,
COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,2.691249517,train,random,0,,,,
c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,3.588207258,train,random,0,,,,
COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,3.293540435,train,random,0,,,,
Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,1.719090867,train,random,0,,,,
Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,1.470307565,train,random,0,,,,
CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,1.617409267,train,random,0,,,,
Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,1.788882177,train,random,0,,,,
Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,2.761852694,train,random,0,,,,
O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,1.659098158,train,random,0,,,,
O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,2.9013079,train,random,0,,,,
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,2.014996993,train,random,0,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,2.516764029,train,random,0,,,,
CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,3.159066443,train,random,0,,,,
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,1.28688292,train,random,0,,,,
CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,2.243926822,train,random,0,,,,
Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,3.038396003,train,random,0,,,,
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,2.199853869,train,random,0,,,,
COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,2.255957185,train,random,0,,,,
Cc1ncc(CN2CCC(Nc3ccc4nnnn4n3)C(C)C2)s1,2.088001348,train,random,0,,,,
CN(Cc1ccccc1)C1(C(=O)N2CCNC(=O)CC2)Cc2ccccc2C1,3.440209084,train,random,0,,,,
Cc1c(F)cccc1NC(=O)CN1[C@H]2CCCC(=O)N[C@@]2(C)C[C@H]1Cc1ccccc1,3.037958084,train,random,0,,,,
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,2.484587375,train,random,0,,,,
O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,2.280027186,train,random,0,,,,
Cc1ccc(NC(=O)CN2[C@H]3CCCC(=O)N[C@@]3(C)C[C@H]2Cc2ccccc2)cc1F,3.521284437,train,random,0,,,,
COCC(=O)N1CCC(Cc2ccccc2-c2cccc(F)c2)(C(=O)NC(C)C)CC1,2.757490166,train,random,0,,,,
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,2.495928511,train,random,0,,,,
Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,1.578593372,train,random,0,,,,
CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,2.878798599,train,random,0,,,,
O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3F)N2C(=O)c2cccc3ncccc23)N1,2.602536368,train,random,0,,,,
CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,2.514890272,train,random,0,,,,
Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,1.659202877,train,random,0,,,,
O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,2.73638694,train,random,0,,,,
C[C@@H]1Cc2ccccc2N1C(=O)Cn1nc(-c2cccc3ncccc23)oc1=O,3.033483668,train,random,0,,,,
Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,3.082243061,train,random,0,,,,
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,1.880241776,train,random,0,,,,
CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,1.915521189,train,random,0,,,,
CC1CN(C(=O)c2cccnc2N2CCOCC2)CC(c2ccccc2)O1,2.743158424,train,random,0,,,,
Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,1.994000227,train,random,0,,,,
Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,2.765263869,train,random,0,,,,
CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,3.097606757,train,random,0,,,,
CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,2.392746182,train,random,0,,,,
CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,2.827400293,train,random,0,,,,
CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,2.747637831,train,random,0,,,,
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.180527283,train,random,0,,,,
O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,3.058701926,train,random,0,,,,
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,2.187091855,train,random,0,,,,
Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,3.188084374,train,random,0,,,,
COCCNC(=O)c1ccnc(C2CCNCC2)c1,1.206123964,train,random,0,,,,
COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,2.123093413,train,random,0,,,,
Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,2.519927699,train,random,0,,,,
O=C1NCCSc2c1sc1ccc(O)cc21,1.978326627,train,random,0,,,,
CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21,2.048927103,train,random,0,,,,
CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,1.958473097,train,random,0,,,,
O=C1CCC(=O)N1Cc1nc(C23CC4CC(CC(C4)C2)C3)cs1,3.144807014,train,random,0,,,,
O=C(Nc1nc2c(s1)COc1ccccc1-2)c1cnc(Cl)c(Cl)c1,2.445191505,train,random,0,,,,
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,1.856221212,train,random,0,,,,
CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,2.800315583,train,random,0,,,,
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,1.407560849,train,random,0,,,,
COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1,2.296616933,train,random,0,,,,
CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,2.338270185,train,random,0,,,,
C[C@@]1(c2ncncc2F)NC(=O)c2cc(-c3cn[nH]c3)ccc21,1.542707193,train,random,0,,,,
Nc1ncc(-c2cc(C3C4CN(C5COC5)CC43)n(CC3CC3)n2)cc1C(F)(F)F,1.861122024,train,random,0,,,,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,2.591679978,train,random,0,,,,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,2.50806218,train,random,0,,,,
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,3.308929409,train,random,0,,,,
CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,2.439157361,train,random,0,,,,
Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,1.693999396,train,random,0,,,,
c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,3.184623585,train,random,0,,,,
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,3.553730633,train,random,0,,,,
Cc1ccc(Oc2ccc(Cl)cc2NC(=O)CN(C)CC(=O)N(C)C)cc1,3.383449292,train,random,0,,,,
Cc1ccccc1-c1nc(Cn2ccnc2C(C)C)c(C)o1,3.43425888,train,random,0,,,,
CCc1nc2cc(-c3c(OC)cccc3OC)ccc2o1,3.575702918,train,random,0,,,,
O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,2.313915707,train,random,0,,,,
CCn1ncnc1-c1[nH]cnc1-c1ccccc1,1.681621079,train,random,0,,,,
Cc1nnc(NCCc2ccc3c(c2)OCO3)c(C#N)c1C,2.970806966,train,random,0,,,,
Cc1cc(CN(C)Cc2cscn2)no1,1.397000918,train,random,0,,,,
Cc1occc1C(=O)NCC(=O)Nc1nc2cc(Cl)ccc2n1C,2.290499837,train,random,0,,,,
c1ccc(-c2noc(NC3CC3)n2)cc1,2.250100263,train,random,0,,,,
CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,2.355369136,train,random,0,,,,
O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1,2.652403974,train,random,0,,,,
COc1cc(OC)cc(-c2nnc(SCC(=O)Nc3cccc(C(=O)O)c3)s2)c1,1.684324614,train,random,0,,,,
O=C(CSc1nccn1C1CC1)Nc1c(Cl)cc(Cl)cc1C(=O)O,2.309415096,train,random,0,,,,
Cc1cc(-c2cnn(CCNC(=O)c3sc(C)nc3C)c2C2CC2)on1,2.088444417,train,random,0,,,,
O=C(CSc1nc2nc(O)cc(O)c2s1)c1ccc(-c2ccccc2)cc1,2.105738342,train,random,0,,,,
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,1.194764024,train,random,0,,,,
CN(C)c1ccc2c(c1)OCCN2C(=O)NCc1cccnc1,2.872877942,train,random,0,,,,
O=C(NCc1ccc(CO)c(F)c1)Nc1ccccc1,1.317080886,train,random,0,,,,
CCCOc1ccccc1C(=O)N1CC(Oc2cccc(OC)c2)C1,3.134906696,train,random,0,,,,
CSCC(=O)N1CCN(C(=O)CSC)C2(CCCCC2)C1,2.938697809,train,random,0,,,,
CCCCNC(=O)c1cccc2ncccc12,1.446832188,train,random,0,,,,
COc1cccc(OCCCn2cncc2-c2cc3c(cc2C)n(C)c(=O)n3C)c1,2.546181012,train,random,0,,,,
Cc1ccc(C(=O)N2CCN(C(=O)NCC(=O)N3CCCC3)CC2)cc1F,1.347583686,train,random,0,,,,
COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,2.771466214,train,random,0,,,,
Cc1cc(OCC(=O)N(C)C2CCCCCCC2)no1,3.345284314,train,random,0,,,,
CC(C)CNc1nnc(SCc2ccncc2)s1,2.800070653,train,random,0,,,,
COc1c(C)cccc1CN1CCC(O)(c2ccc(F)cc2)CC1,3.106687484,train,random,0,,,,
Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,2.774355626,train,random,0,,,,
Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,2.072025522,train,random,0,,,,
CCN(C/C=C/c1ccc(F)cc1)Cc1nc(COC)no1,2.935639247,train,random,0,,,,
O=C(NC[C@@H]1CCN(c2ccccc2)C1)N1CCc2ccccc2C1,3.335113337,train,random,0,,,,
CC1CCN(CCNC(=O)c2ccncc2)CC1,2.690079071,train,random,0,,,,
CCN1CCC(N(C)c2ncnc3c2cnn3C)CC1,1.567955163,train,random,0,,,,
CN(CC#N)C(=O)c1cccc(CN2CCCC2)c1,2.508392339,train,random,0,,,,
Cc1cc2nc(CCC(=O)N3CCC(c4ccc(C(=O)N(C)C)c(N)n4)CC3)[nH]c2cc1C,2.505620661,train,random,0,,,,
O=C(CCOc1ccccc1)N1CCCC1,1.93230123,train,random,0,,,,
c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,2.64325325,train,random,0,,,,
COc1ccc(-n2cc3c(c2-c2ccccc2Br)c(=O)n(C)c(=O)n3C)cc1,2.717138541,train,random,0,,,,
CC(=O)N1CCC[C@H]1C(=O)Nc1cccc(OC(F)F)c1,1.497593031,train,random,0,,,,
COc1ccc(CN2CCC(c3nc(C(C)C)no3)CC2)c(F)c1,3.233032935,train,random,0,,,,
Cc1nnc(NCC(=O)N2CCc3sccc3C2)c(C#N)c1C,2.425750988,train,random,0,,,,
c1ccc(CO[C@@H]2CCC[C@H]2n2cc(-c3nccs3)nn2)cc1,3.479500594,train,random,0,,,,
Cc1cc(C(=O)N(C)Cc2ccc(Br)cc2)no1,2.973620083,train,random,0,,,,
Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,2.714158691,train,random,0,,,,
Cc1ccccc1CNC(=O)c1ccc(-n2ccnc2)nc1,1.548119052,train,random,0,,,,
O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1,2.066966643,train,random,0,,,,
CNC(=O)c1ccc(N2CCCC2)nc1,1.764295715,train,random,0,,,,
CN(c1ncnc2c1cnn2CCO)C1CCCCC1,1.889178401,train,random,0,,,,
NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,2.832521686,train,random,0,,,,
CN1CCN(c2ccc(NC(=O)c3ccccc3Cl)nc2)CC1,2.54333533,train,random,0,,,,
Cc1cc(OCc2ncc(C(C)(C)C)o2)nn1C,2.816379854,train,random,0,,,,
Clc1cccc(CNc2nc(C3CC3)no2)c1,2.218144096,train,random,0,,,,
Cc1ccc(-c2nc(NCc3ccco3)ncc2-c2cc(C)no2)cn1,2.691941269,train,random,0,,,,
O=C(c1ccc2c(c1)OCO2)N1CCC(c2n[nH]c(C3CC3)n2)CC1,1.649529566,train,random,0,,,,
CN(Cc1cccc(C#N)c1)Cc1ccccc1C#N,3.625142096,train,random,0,,,,
CN1CCN(Cc2noc(Cc3ccccc3)n2)c2ccccc21,3.300817574,train,random,0,,,,
O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,3.102705655,train,random,0,,,,
CNC(=O)c1ccc(N(C)C2CCC2)nn1,1.605595915,train,random,0,,,,
CC#CCNc1ccc(-n2cnnn2)c(C)c1,2.116617705,train,random,0,,,,
Nc1nc2ccccc2nc1N1CCCC1,2.527157978,train,random,0,,,,
Cc1cc(N2CCCCC2)nc(CNC(=O)c2ccccc2Cl)n1,3.001873841,train,random,0,,,,
COc1ccccc1C(=O)NCc1nc(C)cc(N2CCCCC2)n1,3.02141714,train,random,0,,,,
CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,1.882649742,train,random,0,,,,
O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,3.290218758,train,random,0,,,,
COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,3.290326493,train,random,0,,,,
CC(C)(C)c1cc(NC(=O)c2cccc3cn[nH]c23)[nH]n1,2.245922093,train,random,0,,,,
COc1ccc(-c2cccc(C3CCCN(CC(=O)Nc4ccccn4)C3)n2)cc1,3.345796839,train,random,0,,,,
Cc1noc(C)c1C(=O)N1CCCN(c2ccc(F)cc2)CC1,2.753002846,train,random,0,,,,
COCC1CCN(c2noc(-c3cccs3)n2)CC1,2.511771098,train,random,0,,,,
NC(=O)COc1ccccc1-c1ccccc1,1.878757262,train,random,0,,,,
Cc1nc(C)c(C)c(NCc2cc(-c3ccc(F)cc3)no2)n1,2.384555906,train,random,0,,,,
Cc1cccn(Cc2cccc(F)c2)c1=O,1.857248042,train,random,0,,,,
C[C@@H](C(=O)N1CCCC1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.80926672,train,random,0,,,,
Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,2.487877603,train,random,0,,,,
Cc1ccc(-c2cn(CC3CCN(Cc4c[nH]c(C)n4)CC3)nn2)cc1,1.510451171,train,random,0,,,,
Clc1ccc2c(Oc3cccnc3)ncnc2c1,1.671839052,train,random,0,,,,
CC(C)(C)c1csc(NC(=O)C2CC2)n1,1.949546129,train,random,0,,,,
Cc1ccc(C(=O)Nc2ncccc2C)s1,1.53879987,train,random,0,,,,
O=C([C@H]1CCCN(Cc2ccc(Cl)cc2)C1)N1CCc2ccccc2C1,3.584599974,train,random,0,,,,
O=C(CCCc1nnc(-c2ccccc2)o1)Nc1cccc2ccccc12,3.061235655,train,random,0,,,,
CN(CC(=O)NC1(C#N)CCCCC1)c1cccc(C#N)c1,2.845618261,train,random,0,,,,
Cc1nc(C2(NCc3cccc(C#N)c3)CCCC2)no1,2.702888717,train,random,0,,,,
CN(CCC1CCCCC1)C(=O)c1ccon1,2.987719878,train,random,0,,,,
CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,2.180696337,train,random,0,,,,
COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(COc1cc(=O)n3cccc(OCCN4CCCCC4)c3n1)C2=O,2.397159315,train,random,0,,,,
O=C(O)c1ccc(N2CCCC2)c(F)c1,1.159867847,train,random,0,,,,
Cc1cc(C)cc(Oc2cc(C#N)ccn2)c1,2.330279811,train,random,0,,,,
N#Cc1ccc(-c2csc(CCN3CCCC3=O)n2)cc1,1.828569678,train,random,0,,,,
N#Cc1cccc(CN2CCC=C(CNC(=O)c3cccs3)C2)c1,2.645033982,train,random,0,,,,
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,1.10710817,train,random,0,,,,
Cc1ccc(Cn2nccc2NC(=O)c2ccncc2)o1,2.330279811,train,random,0,,,,
Cc1ccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c(F)c1,2.808265003,train,random,0,,,,
CN(C)[C@@H]1CN(C(=O)CCn2cnc3ccccc32)C[C@H]1O,1.487166667,train,random,0,,,,
CNC(=O)Cc1csc(-c2ccc(C)cc2)n1,3.002748188,train,random,0,,,,
COc1ccccc1CNC(=O)C(C)N1CCCN(c2ccccc2C#N)CC1,3.604436451,train,random,0,,,,
CON(C)C(=O)c1cc2ccc(C(C)(C)C)cc2[nH]1,2.537113581,train,random,0,,,,
CCN(CC)Cc1cccc(/C=C/c2nc3ccc(F)cc3c(=O)n2-c2ccccc2Cl)n1,2.71229522,train,random,0,,,,
N#CCCN(c1ncnc2sccc12)C1CC1,2.364156856,train,random,0,,,,
Cc1ccc2nc3c(c(C(=O)NCc4nnc5n4CCC5)c2c1)CCCC3,1.458954957,train,random,0,,,,
O=c1n(CCc2ccncc2)nnn1-c1ccccc1,1.814254257,train,random,0,,,,
CCCCOc1ccc(C(=O)NCc2cc(C)on2)cc1,2.624314074,train,random,0,,,,
COc1ccc(Cc2ncnn2-c2ccc3c(c2)OCO3)c(OC)c1,3.482677107,train,random,0,,,,
O=c1[nH]nc(CCCN2CCOCC2)n1-c1cccc(Cl)c1,1.449061647,train,random,0,,,,
Nc1cncc(-c2ccc(CN3CCCCC3)cc2)c1,1.750816843,train,random,0,,,,
COc1cccc2c1OC(C)(C)[C@@H]1C[C@H]3CNCC[C@H]3O[C@@H]21,1.711992713,train,random,0,,,,
CC1(C)Oc2ccc(Cl)cc2[C@@H]2O[C@@H]3CCNC[C@@H]3C[C@H]21,2.010800125,train,random,0,,,,
CC(C)c1nccn1-c1cccc([C@@H]2CCCN2C(=O)CCc2ccccc2)n1,3.02332367,train,random,0,,,,
CCn1nc(C2CCCC2)nc1-c1ccncc1,2.567680258,train,random,0,,,,
O=C([C@H]1CCCN(Cc2ccc(F)cc2)C1)N1CCc2ccccc2C1,3.563233491,train,random,0,,,,
CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCN(CC(F)F)CC3)nc2O1,2.08385006,train,random,0,,,,
COc1ccc(-n2c(Cn3cnc(C#N)n3)nc3ccccc32)cc1,2.821992756,train,random,0,,,,
CCn1cc(C2CCN(Cc3ccc(C#N)cc3)CC2)cn1,2.27343882,train,random,0,,,,
c1cnc(N2CCC(Cc3ccncc3)CC2)nc1,2.164120773,train,random,0,,,,
CCNC(=O)c1cc(C2CC2)nc2c1c(C)nn2-c1ccccn1,1.849259672,train,random,0,,,,
CC(=O)Nc1ccc2nc(N3CCOCC3)sc2c1,1.364475949,train,random,0,,,,
