SMILES,Standard Value,dset,group,fold,astrazeneca_CL_cbert_mlm-bert-100,astrazeneca_CL_cbert_mlm-bert-30,astrazeneca_CL_cbert_mlm-bert-60,astrazeneca_CL_cbert_none-bert-0,astrazeneca_CL_mlm_mlm-bert-100,astrazeneca_CL_mlm_mlm-bert-30,astrazeneca_CL_mlm_mlm-bert-60,astrazeneca_CL_mlm_none-bert-0,astrazeneca_CL_mtr_mlm-bert-100,astrazeneca_CL_mtr_mlm-bert-30,astrazeneca_CL_mtr_mlm-bert-60,astrazeneca_CL_mtr_mtr-bert-100,astrazeneca_CL_mtr_mtr-bert-30,astrazeneca_CL_mtr_mtr-bert-60,astrazeneca_CL_mtr_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C)cc1,1.554995187275566,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCc1cccc(C(=O)O)c1,1.5899496013257075,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(CC(=O)N(C)C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,1.414973347970818,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1,1.8750612633917,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,1.0791812460476249,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(O)cc1,0.7701914564835821,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(F)ccc1O2,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,1.089905111439398,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2ccn(-c3cc(NC4COC4)n4ncc(C#N)c4n3)c2c1,1.3400473176613932,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc2ccn(-c3cc(Nc4ccn(C)n4)n4ncc(C#N)c4n3)c2c1,1.63002085111341,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,0.8548994675487406,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cc2ccc(O)cc2oc1=O,1.8130161239145093,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O,1.848025219903875,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ncccc1NC(=O)[C@H]1CC[C@H](N2C(=O)[C@@H]3[C@@H]4CC[C@@H](C4)[C@@H]3C2=O)CC1,1.6980996735478682,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.3710678622717365,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,1.103547770209609,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,1.0098756337121602,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)N1CCC(F)(F)CC1,1.5962837266682728,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,0.5198279937757188,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,0.850033257689769,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1.5299434016586693,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,1.369924959705858,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,1.9207052138142189,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,0.6778079184956498,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,1.418003729562766,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,0.8890756251918218,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,0.6188089241567482,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)S(=O)(=O)N[C@H]1CC[C@H](C(=O)Nc2ccc(C(F)(F)F)cn2)CC1,0.7596678446896304,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,1.808694268816564,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.819991789415936,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1ccc2c(c1)CC[C@H]2NC(=O)Nc1cccc2[nH]ncc12,1.1150895320208078,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1csc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)n1,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,1.827942183600248,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,1.1303695099552056,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(Cc1cccc(CC(=O)NCc2cccc(-c3ccc(O)cc3)c2)c1)NC[C@H](O)c1ccc(O)c(NS(C)(=O)=O)c1,1.7819184593322723,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(N)C(=O)N[C@H](COCc1ccc(F)cc1F)C(=O)N1CCC2=NN(CC(F)(F)F)C(=O)[C@]2(Cc2ccccn2)C1,1.190051417759206,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,1.1598678470925667,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(O)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1,0.5787283840671128,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1.4210778461464963,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)=CCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,1.8762547003944208,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)C(=O)Nc1nc(-c2ccccn2)cc2ccccc12,1.9049958399908875,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)CNc1nc(N2CCN(CC3CCCOC3)CC2)ncc1C(=O)NCc1ccccc1,1.9650136390535364,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,1.1300119496719043,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)C[C@H](N)C(=O)NC[C@H](O)C[C@@H](N)CC(=O)NN(C)CC(=O)O,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21,2.0293837776852097,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,1.4313637641589874,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21,1.591064607026499,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3C[C@H](O)CO3)c(Cc3ccnc4ccccc34)sc21,1.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC(C)C)c(Cc3ccccc3C(F)(F)F)sc21,0.8241258339165489,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,0.8450980400142568,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3cccc4ccccc34)sc21,1.5185139398778875,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)N(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,1.8868932224905968,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,1.4499409887733377,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)NC(=O)c1ccc2c(Nc3ccc(Cl)cc3)nc(N3CCOCC3)nc2c1,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.6778079184956498,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1.4000196350651586,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)NCC(O)COc1cccc2[nH]ccc12,1.5281665174755807,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1.7323937598229686,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Oc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,1.9400181550076632,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,2.1760912590556813,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,2.0400086360135417,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,1.1599692199901543,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C,1.8249732649034107,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,1.369957607346053,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,1.240089738012565,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,2.069999934779113,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccc(Sc2cnc(O)c(C(=O)NCc3ccccc3)c2)cc1,1.833024869240258,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1nc2ccc(-c3ccc(F)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,1.2899425362618766,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(OC3CN(C4CCS(=O)(=O)CC4)C3)n(C)c2n1,1.1550278688754458,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0.6988831280632251,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O,1.4051366618122634,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,0.7685315713908085,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)c1cc(O)nc2ccccc12)c1ccccc1,0.7201593034059569,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1.3899401984055586,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC(NCC(O)c1ccc([N+](=O)[O-])cc1)C12CC3CC(CC(C3)C1)C2,1.484299839346786,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,1.7032972186988409,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,1.764977020487019,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)C(=O)Nc2ccccc21,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,0.989894563718773,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.68515289632992,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(c3ccc(C#N)cn3)CC1)C(=O)C2,2.0944642418804267,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)NC1CCN(c3ccc(C(F)(F)F)cn3)CC1)C(=O)C2,1.8750612633917,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,0.8122945484029046,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(COc2cc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)ccc2NC(=O)CN2CCOCC2)COC1,1.9800033715837464,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1(O)CN(S(=O)(=O)c2ccc3c(C(=O)NC[C@@H](O)CN4CCC(Oc5ccc(Cl)c(Cl)c5)CC4)c[nH]c(=O)c3c2)C1,1.2631624649622166,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,1.2032700902169775,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1CCC(CC(=O)Nc2cccc3ncccc23)CC1,1.57978359661681,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,1.260071387985075,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1CN(C(=O)c2cc3ccccc3[nH]2)CCN1,0.9030899869919436,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cc(Cl)ccc1OCC(=O)O,0.6611096473669595,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1CNC(Nc2c(Cl)cccc2Cl)=N1,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0.9050557451432524,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,0.4984746242476905,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc3n21,0.8085001705604494,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.749968083509403,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)NC(c1cccs1)c1cc(Cl)c2cccnc2c1O,1.8940634063280408,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,2.1030417172167644,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,1.454215699483003,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(C)(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Br)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,1.8399805576783428,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,1.216808442074959,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,1.5600262489128924,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,0.9933484024538912,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1c(C)nn(C(C)C)c1NS(=O)(=O)c1ccc(C)cc1,1.3261352607686925,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1cn(-c2ccccc2)nc1NS(=O)(=O)c1ccc(C)cc1,0.8996702747267908,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)C1CCCC1,0.6002884633774241,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1,1.5736835538968932,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,1.708411336567394,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1cnn(-c2ccccc2Cl)c1NS(=O)(=O)c1ccc(C)cc1,1.8027602617187344,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1cnn(Cc2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,1.4250166288448844,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)NC(=O)c1nnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,1.6461280356782382,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1,1.4047798573176338,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(CCNC)Oc1cc(Cl)ccc1C#N,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC(NC(=O)Nc1cc(Cl)ccc1Cl)(C(F)(F)F)C(F)(F)F,1.114921648584363,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC1(C2=NCCN2)Cc2ccccc2O1,0.4771212547196624,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,1.3654879848908996,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,2.042288138967165,train,random,0,,,,,,,,,,,,,,,,,,,,,,
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0.6586136745882101,train,random,0,,,,,,,,,,,,,,,,,,,,,,
