SMILES,solubility,dset,group,fold,adme_solubility_cbert_mlm-bert-100,adme_solubility_cbert_mlm-bert-30,adme_solubility_cbert_mlm-bert-60,adme_solubility_cbert_none-bert-0,adme_solubility_mlm_mlm-bert-100,adme_solubility_mlm_mlm-bert-30,adme_solubility_mlm_mlm-bert-60,adme_solubility_mlm_none-bert-0,adme_solubility_mtr_mlm-bert-100,adme_solubility_mtr_mlm-bert-30,adme_solubility_mtr_mlm-bert-60,adme_solubility_mtr_mtr-bert-30,adme_solubility_mtr_none-bert-0,adme_solubility_sbert_mlm-bert-100,adme_solubility_sbert_mlm-bert-30,adme_solubility_sbert_mlm-bert-60,adme_solubility_sbert_none-bert-0,mlm-bert-100,mlm-bert-30,mlm-bert-60,mtr-bert-100,mtr-bert-30,mtr-bert-60,none-bert-0
O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,1.645422269,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,1.718667735,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,1.716837723,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,1.361727836,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,1.514149134,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,1.260071388,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,1.824125834,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,1.372175286,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,1.620136055,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,0.880813592,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,1.11058971,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,1.651278014,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,1.155336037,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,0.45484486,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,0.662757832,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.780605306,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,1.456366033,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,1.409764104,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,1.673020907,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,1.82672252,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,0.819543936,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,1.480006943,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,1.702430536,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.720159303,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,1.607455023,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,1.759667845,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,1.596926814,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C1CCC(=O)N1Cc1nc(C23CC4CC(CC(C4)C2)C3)cs1,1.630936119,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nc2c(s1)COc1ccccc1-2)c1cnc(Cl)c(Cl)c1,0.568201724,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,0.439332694,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nc2cc(C(F)(F)F)cc(NC3CC3)n2n1)c1cccnc1,0.041392685,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1,1.660865478,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,1.729002709,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C[C@@]1(c2ncncc2F)NC(=O)c2cc(-c3cn[nH]c3)ccc21,1.573741642,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,1.663229635,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Nc1ncc(-c2cc(C3C4CN(C5COC5)CC43)n(CC3CC3)n2)cc1C(F)(F)F,0.484299839,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,0.579783597,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,1.770115295,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
N#CN1CCC[C@H](n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,1.555094449,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,1.660960292,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,0.770852012,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,1.837525309,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,0.672097858,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,0.977723605,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,1.290034611,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(c1sc(N2CCOCC2)nc1-c1ccccc1)N1CCCCC1,1.766115283,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1-c1nc(Cn2ccnc2C(C)C)c(C)o1,1.690284703,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nc2cc(-c3c(OC)cccc3OC)ccc2o1,1.279210513,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,1.906873535,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCn1ncnc1-c1[nH]cnc1-c1ccccc1,1.362293938,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nnc(NCCc2ccc3c(c2)OCO3)c(C#N)c1C,1.350248018,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(CN(C)Cc2cscn2)no1,1.457124626,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1occc1C(=O)NCC(=O)Nc1nc2cc(Cl)ccc2n1C,1.434568904,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCNC(=O)c1ccc(CS(C)(=O)=O)cc1,1.611723308,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(-c2noc(NC3CC3)n2)cc1,1.451786436,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C)c2sc(C(=O)N3CCC(C(=O)O)(c4ccccc4)CC3)cc12,1.867644234,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,1.89187183,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1,1.69862243,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CSc1nccn1C1CC1)Nc1c(Cl)cc(Cl)cc1C(=O)O,0.385606274,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCN1CCC(CNC(=O)c2cc(C)nc3cc(F)ccc23)CC1,1.57054294,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(-c2cnn(CCNC(=O)c3sc(C)nc3C)c2C2CC2)on1,1.826851948,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CSc1nc2nc(O)cc(O)c2s1)c1ccc(-c2ccccc2)cc1,0.84509804,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)c1ccc2c(c1)OCCN2C(=O)NCc1cccnc1,1.682325619,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccc(CO)c(F)c1)Nc1ccccc1,1.546542663,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCCOc1ccccc1C(=O)N1CC(Oc2cccc(OC)c2)C1,1.626340367,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(c1ccc(-n2cccn2)nc1)N1CCN(c2ccccc2O)CC1,1.62838893,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(CCNCc2ccc(-c3ccccc3)o2)cc1OC,1.870813424,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CSCC(=O)N1CCN(C(=O)CSC)C2(CCCCC2)C1,1.703549298,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCCCNC(=O)c1cccc2ncccc12,1.467312063,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1cccc(OCCCn2cncc2-c2cc3c(cc2C)n(C)c(=O)n3C)c1,1.743274524,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)N2CCN(C(=O)NCC(=O)N3CCCC3)CC2)cc1F,1.87875152,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,1.674585602,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(OCC(=O)N(C)C2CCCCCCC2)no1,1.642068627,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CNc1nnc(SCc2ccncc2)s1,1.680788612,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1c(C)cccc1CN1CCC(O)(c2ccc(F)cc2)CC1,1.59900924,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,1.666424373,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,1.823637222,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nc2ccccc2n1CC(=O)N1CCNC(=O)C1,1.704150517,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C1Nc2ccccc2O[C@H]2C[C@@H]1N(CC1CC1)C2,1.624282096,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C/C=C/c1ccc(F)cc1)Cc1nc(COC)no1,1.504742636,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NC[C@@H]1CCN(c2ccccc2)C1)N1CCc2ccccc2C1,1.075546961,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC1CCN(CCNC(=O)c2ccncc2)CC1,1.533899101,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCN1CCC(N(C)c2ncnc3c2cnn3C)CC1,1.614897216,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CN(CC#N)C(=O)c1cccc(CN2CCCC2)c1,1.543074235,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2nc(CCC(=O)N3CCC(c4ccc(C(=O)N(C)C)c(N)n4)CC3)[nH]c2cc1C,1.59835271,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C)cc1NC(=O)CN1CCc2ccccc2C1,1.191171456,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCOc1ccccc1)N1CCCC1,1.589949601,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,1.536558443,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-n2cc3c(c2-c2ccccc2Br)c(=O)n(C)c(=O)n3C)cc1,0.691965103,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCC[C@H]1C(=O)Nc1cccc(OC(F)F)c1,1.671635597,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(CN2CCC(c3nc(C(C)C)no3)CC2)c(F)c1,1.67329744,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCNC(=O)C1CN(c2cccc(C#N)n2)C1,1.632558515,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O[C@@H]1C[C@@H](c2nc(-c3ccccc3)no2)N(Cc2ccccc2)C1,1.619093331,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCCn1cc(C(=O)N2CCC(c3n[nH]cc3C(=O)N(C)Cc3ccccc3)CC2)cn1,1.656098202,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(CO[C@@H]2CCC[C@H]2n2cc(-c3nccs3)nn2)cc1,1.195346058,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)N(C)Cc2ccc(Br)cc2)no1,1.80611211,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
NCc1cccc(C(=O)N2CCCC2)c1,1.404833717,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,1.714916248,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1CNC(=O)c1ccc(-n2ccnc2)nc1,1.639386869,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1,1.501196242,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)c1ccc(N2CCCC2)nc1,1.540329475,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)nc(N(C)CC(=O)NC2CC2)n1,1.542825427,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)Nc2cccc3ncccc23)on1,1.656768779,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CN(c1ncnc2c1cnn2CCO)C1CCCCC1,1.650307523,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,1.646893624,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(OCc2ncc(C(C)(C)C)o2)nn1C,1.266936911,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-c2nc(NCc3ccco3)ncc2-c2cc(C)no2)cn1,1.012837225,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1nc(C)nc(N(C)Cc2nccs2)c1C,1.473778835,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(c1ccc2c(c1)OCO2)N1CCC(c2n[nH]c(C3CC3)n2)CC1,1.432006687,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,1.555698895,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)c1ccc(N(C)C2CCC2)nn1,1.674585602,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC#CCNc1ccc(-n2cnnn2)c(C)c1,1.28780173,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Nc1nc2ccccc2nc1N1CCCC1,1.474944335,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCn1c(=O)n(CC)c2cc(N)ccc21,1.574031268,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(N2CCCCC2)nc(CNC(=O)c2ccccc2Cl)n1,1.81391442,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1C(=O)NCc1nc(C)cc(N2CCCCC2)n1,1.825945143,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nnc(NC(=O)Cc2cccc(F)c2)s1,1.086359831,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1F,1.288919606,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,1.409933123,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CN1CCCN(c2nccs2)CC1)Nc1cccc(Cl)c1,1.569958818,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1NC(=O)CN1CCCN(c2nc(C)cs2)CC1,1.74390155,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1OCCCNc1cc(Cn2c(C)nc3ccccc32)nc(N)n1,1.159567193,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2cccc(C3CCCN(CC(=O)Nc4ccccn4)C3)n2)cc1,0.908485019,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C1CCCN1CCc1nc(-c2ccc3[nH]c(=O)oc3c2)cs1,1.770778396,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1noc(C)c1C(=O)N1CCCN(c2ccc(F)cc2)CC1,1.745074792,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc(C)c(C)c(NCc2cc(-c3ccc(F)cc3)no2)n1,1.573567773,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccn(Cc2cccc(F)c2)c1=O,1.377488383,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-c2cn(CC3CCN(Cc4c[nH]c(C)n4)CC3)nn2)cc1,1.397940009,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc2c(Oc3cccnc3)ncnc2c1,1.5984622,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)c1csc(NC(=O)C2CC2)n1,1.465977368,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)Nc2ncccc2C)s1,1.5774918,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
O=C([C@H]1CCCN(Cc2ccc(Cl)cc2)C1)N1CCc2ccccc2C1,1.635986112,train,random,0,,,,,,,,,,,,,,,,,,,,,,,,
